timestamp_stop,shape_id,cls,instance,points
1532402927604,0,0,0,[[0.0 0.0][1600.0 0.0][1600.0 900.0][0.0 900.0]]
1532402927604,1,1,0,[[719.0 529.0][718.0 509.0][718.0 487.0][724.0 465.0][774.0 463.0][780.0 475.0][783.0 488.0][784.0 505.0][784.0 515.0][784.0 525.0][777.0 530.0]]
1532402927604,2,1,0,[[900.0 527.0][896.0 521.0][898.0 508.0][899.0 498.0][900.0 488.0][902.0 477.0][908.0 471.0][916.0 470.0][924.0 471.0][931.0 479.0][942.0 480.0][947.0 488.0][950.0 493.0][952.801 502.599][954.0 509.0][954.0 517.0][952.202 526.199]]
1532402927604,3,1,0,[[1001.0 517.0][989.0 518.0][983.0 515.0][980.0 507.0][980.0 497.0][979.0 486.0][980.0 476.0][983.0 468.0][987.0 464.0][1033.0 463.0][1037.0 473.0][1024.0 476.0][1013.0 481.0][1008.0 491.0][1005.0 500.0][1002.0 508.0]]
1532402927608,1,0,0,[[0.0 0.0][1600.0 0.0][1600.0 900.0][0.0 900.0]]
1532402927608,2,1,0,[[729.0 459.0][779.0 460.0][786.0 467.0][789.0 485.0][790.202 504.0][790.798 518.798][785.0 528.0][720.0 528.0][719.398 508.0][719.199 481.401][722.0 471.0]]
1532402927608,3,1,0,[[914.199 522.199][910.0 518.0][911.0 506.0][911.0 494.0][914.0 482.0][915.0 473.0][919.0 467.0][933.0 465.0][937.0 467.0][940.0 473.0][947.0 476.0][955.0 476.0][958.0 482.0][962.0 490.0][966.0 497.0][966.0 506.0][966.0 518.0][958.401 520.199]]
1532402927608,4,1,0,[[1035.398 517.0][1010.0 518.0][1004.0 512.0][1001.0 500.0][1003.0 487.0][1003.0 475.0][1006.0 464.0][1012.0 459.0][1027.0 458.0][1044.0 459.0][1059.0 460.0][1064.0 471.0][1052.0 473.0][1045.0 484.0][1042.0 493.0][1037.199 499.599][1037.0 510.0]]
1532402927612,1,0,0,[[0.0 0.0][1600.0 0.0][1600.0 900.0][0.0 900.0]]
1532402927612,2,1,0,[[722.0 536.0][720.0 518.0][717.0 494.0][719.0 482.0][727.0 464.0][741.0 463.0][770.0 463.0][786.0 467.0][792.0 479.0][792.0 495.0][793.0 516.0][792.0 536.0]]
1532402927612,3,1,0,[[932.0 524.0][929.0 522.0][929.0 512.0][929.0 500.0][926.0 492.0][928.0 483.0][932.0 476.0][937.0 471.0][946.0 472.0][954.0 473.0][958.0 478.0][966.0 479.0][973.0 480.0][979.0 488.0][982.0 495.0][983.0 504.0][984.0 512.0][983.0 520.0][980.0 523.0]]
1532402927612,4,1,0,[[1077.082 526.0][1042.0 524.0][1031.0 521.0][1028.0 505.0][1027.0 495.0][1031.0 482.0][1035.0 471.0][1042.0 463.0][1055.211 461.599][1066.415 461.202][1075.415 463.599][1081.213 473.398][1083.412 486.196][1090.455 490.596][1108.202 477.801][1127.0 476.0][1141.0 475.0][1159.0 475.0][1172.0 478.0][1180.0 492.0][1185.0 508.0][1189.0 520.0][1189.0 534.0][1187.0 545.0][1184.384 555.233][1105.068 556.384][1090.0 550.0][1078.616 545.0]]
1532402927612,5,1,0,[[827.0 509.0][824.0 497.0][824.0 485.0][828.0 472.0][836.0 473.0][836.0 485.0][835.0 500.0][835.0 508.0]]
1532402927612,6,1,0,[[805.0 507.0][799.0 500.0][797.0 482.0][801.0 467.0][809.0 463.0][816.0 475.0][812.0 485.0][810.0 498.0]]
1532402927616,1,0,0,[[0.0 0.0][1600.0 0.0][1600.0 900.0][0.0 900.0]]
