timestamp_stop,lane_id,points,theta_0,theta_1,theta_2,theta_3
1532402927604,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 43 90 134 187 237 -1 -1 -1 -1 589 633 681 643 -1 -1],7.11734,-0.016,-6e-05,0.0
1532402927604,2,[715 -1 725 -1 -1 -1 -1 -1 -1 766 -1 -1 -1 -1 794 -1 -1 812 -1 -1 829 -1 -1 847 -1 857 850 753 -1 -1],0.72923,-0.04844,-0.00036,1e-05
1532402927604,3,[715 -1 -1 -1 -1 -1 -1 -1 760 -1 -1 -1 -1 -1 -1 -1 807 -1 -1 -1 -1 837 -1 -1 853 -1 862 868 -1 -1],0.78382,-0.0592,0.00012,-0.0
1532402927604,4,[-1 -1 -1 1605 -1 -1 1524 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1205 -1 -1 -1 -1 1067 -1 1012 -1 -1 935 -1 -1],-3.14444,-0.06461,-0.00028,0.0
1532402927604,5,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1584 1527 1464 1410 1344 1284 1232 1177 1115 1069 -1 -1 -1],-6.43953,-0.11368,0.00029,-0.0
1532402927608,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -16 -1 -1 -1 -1 -1 -1 -1 -1 -1 542 603 670 634 -1 -1],5.65147,0.11032,-0.00187,1e-05
1532402927608,2,[787 -1 -1 -1 -1 -1 -1 813 -1 -1 -1 -1 -1 831 -1 840 -1 -1 850 -1 -1 862 -1 870 -1 873 862 772 -1 -1],0.54965,-0.06485,-0.00014,0.0
1532402927608,3,[787 -1 -1 -1 -1 -1 809 -1 -1 -1 -1 -1 -1 -1 -1 -1 844 -1 -1 -1 859 -1 -1 -1 872 -1 878 883 -1 -1],0.52518,-0.06518,6e-05,-0.0
1532402927608,4,[-1 -1 -1 -1 -1 1598 -1 1549 -1 -1 -1 1428 -1 -1 -1 -1 -1 -1 -1 1182 -1 -1 -1 1068 -1 -1 983 955 -1 -1],-3.26447,-0.08477,-0.00017,0.0
1532402927608,5,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1611 1561 1497 1447 1385 1327 1267 1206 1152 1105 -1 -1 -1],-6.13907,-0.1656,0.00092,-1e-05
1532402927612,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -17 -1 -1 -1 -1 -1 -1 423 486 548 606 661 660 545 -1 -1],8.24504,-0.13199,0.00177,0.0
1532402927612,2,[879 -1 -1 -1 882 -1 -1 -1 -1 -1 885 -1 -1 -1 888 -1 -1 892 -1 -1 892 -1 894 -1 894 889 810 726 -1 -1],1.16486,-0.19248,0.00281,-1e-05
1532402927612,3,[880 -1 -1 880 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 890 -1 -1 -1 892 -1 -1 -1 892 -1 893 893 893 -1 -1],0.18601,-0.07125,3e-05,-0.0
1532402927612,4,[-1 -1 -1 -1 -1 -1 -1 1602 -1 -1 1510 -1 1447 -1 -1 1347 -1 -1 -1 1214 -1 -1 -1 -1 1058 -1 -1 962 -1 -1],-3.59878,-0.08416,-0.0004,0.0
1532402927612,5,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1588 1540 1482 1410 1343 1273 1220 1174 -1 -1 -1 -1],-5.78233,-0.28123,0.00601,-7e-05
1532402927616,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -17 -1 88 152 217 284 332 390 443 494 564 601 648 676 581 -1 -1],6.73744,-0.04734,0.00049,0.0
