timestamp_stop,shape_id,cls,instance,points
1532402927604,24,19,0,[[3.0 636.0][188.0 598.0][242.0 602.0][252.0 609.0][4.0 671.0]]
1532402927604,25,30,0,[[-1.0 1.0][1601.085 -0.695][1606.475 901.695][-2.695 910.949][0.881 382.797]]
1532402927604,27,58,0,[[-20.339 931.983][-2.169 243.78][123.0 235.0][274.0 232.0][384.0 223.0][442.0 244.0][464.0 247.0][479.0 244.0][484.0 237.0][493.0 228.0][508.0 232.0][515.0 245.695][532.0 249.0][542.0 249.0][537.0 227.0][549.0 223.0][559.0 223.0][569.0 235.0][574.0 244.0][584.0 252.0][598.0 242.0][610.0 242.0][627.0 245.0][630.0 225.0][645.0 223.0][655.0 228.0][655.0 247.0][657.0 267.0][667.0 269.0][669.0 277.0][676.0 286.0][689.0 277.0][710.0 271.0][710.0 255.0][735.0 257.0][750.0 269.0][767.0 277.0][766.0 293.0][747.0 303.0][747.0 322.0][762.0 316.0][771.0 284.0][788.0 276.0][810.0 272.0][827.0 286.0][840.0 293.0][849.0 296.0][874.0 305.0][906.0 308.0][930.0 308.0][950.0 318.0][961.0 340.0][962.0 332.0][974.0 330.0][984.746 330.508][991.0 333.0][998.0 342.0][1008.0 330.0][1027.0 320.0][1050.0 318.0][1067.0 328.0][1081.0 327.0][1091.0 345.0][1111.0 359.0][1128.0 367.0][1149.0 357.0][1166.0 354.0][1201.0 328.0][1235.0 320.0][1252.0 301.0][1255.0 279.0][1271.0 266.0][1286.0 262.0][1301.0 245.0][1316.0 240.0][1359.0 240.0][1379.0 227.0][1394.0 208.0][1425.0 179.0][1454.0 186.0][1461.0 213.0][1488.0 230.0][1527.0 237.0][1554.0 225.0][1571.0 227.0][1616.644 215.0][1626.814 923.424]]
1532402927604,28,13,0,[[-8.864 -1.695][484.695 -1.78][483.0 71.0][477.78 143.39][479.0 176.0][488.0 183.0][477.0 191.0][459.0 196.0][450.0 240.0][420.0 505.0][1.0 550.0]]
1532402927604,30,13,0,[[1052.0 335.0][1089.0 328.0][1105.0 333.0][1128.0 332.0][1142.0 330.0][1140.0 298.0][1206.449 279.216][1180.559 294.78][1189.0 286.0][1210.0 271.0][1235.0 255.0][1228.0 240.0][1245.0 225.0][1266.0 222.0][1294.0 225.0][1327.0 225.0][1338.0 226.695][1366.0 235.0][1598.0 264.0][1598.0 511.0][1288.0 513.0][1172.0 489.0]]
1532402927604,31,13,0,[[1077.0 518.0][1074.0 489.0][1157.0 496.0][1233.0 506.0][1342.0 511.0][1437.0 513.0][1530.0 515.0][1598.0 515.0][1598.0 662.0][1369.0 600.0][1205.0 554.0][1127.0 535.0]]
1532402927604,32,57,0,[[0.0 923.508][-7.475 680.475][111.0 647.0][248.949 608.305][427.864 592.644][577.424 556.644][684.61 525.254][731.305 509.39][850.0 518.0][881.0 522.0][889.695 492.39][980.39 499.78][1119.864 535.169][1284.0 577.0][1442.0 618.0][1596.0 657.0][1606.169 908.254]]
1532402927604,34,7,1,[[218.254 636.763][197.678 597.78][153.305 595.644][150.627 579.39][198.085 571.949][157.0 550.0][150.0 533.0][135.0 525.0][125.0 238.0][430.0 225.0][444.0 244.0][579.0 342.0][579.0 427.0][586.0 449.0][630.0 454.0][642.0 537.0][519.915 572.0][511.254 621.864][445.271 622.0][426.407 604.695][275.339 611.22][255.542 636.39]]
1532402927604,33,13,0,[[581.0 588.0][589.0 552.0][594.0 472.0][616.0 474.0][623.0 530.0][622.0 561.0][627.0 593.0]]
1532402927604,35,0,1,[[625.0 476.0][627.0 464.0][638.0 457.0][647.0 462.0][646.475 480.695][645.0 494.0][642.0 528.0][633.0 557.0][640.0 588.0][625.0 586.0][623.0 561.0][620.0 527.0][625.0 496.0]]
1532402927604,37,0,4,[[684.0 501.0][686.0 479.0][691.0 471.0][694.0 486.0][696.0 500.0]]
1532402927604,38,0,3,[[789.0 500.0][788.0 484.0][786.0 466.0][796.0 464.0][794.0 484.0][794.0 501.0]]
1532402927604,39,0,2,[[803.0 496.0][803.0 477.0][810.0 469.0][815.0 474.0][813.0 486.0][810.0 500.0]]
1532402927604,40,2,7,[[718.0 522.0][713.0 491.0][722.0 467.0][777.0 464.0][783.0 491.0][781.0 525.0]]
1532402927604,41,2,6,[[900.0 525.0][898.0 496.0][905.0 477.0][940.0 476.0][950.0 494.0][950.0 523.0]]
1532402927604,42,2,5,[[1010.0 532.0][1000.0 522.0][1003.0 496.0][1022.0 474.0][1067.0 474.0][1074.0 503.0][1074.0 533.0]]
1532402927604,43,7,2,[[1033.0 469.0][1032.0 461.0][989.0 461.0][977.0 469.0][971.0 505.0][981.0 505.0][984.0 513.0][996.0 515.0][1003.0 489.0][1013.0 471.0]]
1532402927604,44,2,4,[[1283.0 503.0][1279.0 496.0][1298.0 491.0][1325.0 488.0][1362.0 488.0][1367.0 503.0][1357.0 503.0][1332.0 506.0]]
1532402927604,45,2,3,[[1369.0 510.0][1361.0 500.0][1381.0 493.0][1408.39 491.475][1440.0 492.475][1444.0 496.0][1447.0 515.0]]
1532402927604,46,2,2,[[1457.0 515.0][1450.0 505.0][1469.0 496.0][1486.0 491.0][1508.0 486.0][1520.0 486.0][1535.0 494.0][1535.0 511.0]]
1532402927604,47,2,1,[[1540.0 510.0][1535.0 493.0][1561.0 493.0][1583.0 496.0][1591.0 496.0][1591.0 506.0]]
1532402927604,48,9,0,[[847.0 454.0][847.0 437.0][861.0 437.0][861.0 457.0]]
1532402927604,49,9,0,[[900.0 415.0][898.0 391.0][913.0 391.0][913.0 415.0]]
1532402927608,14,19,0,[[317.22 707.884][542.401 592.095][551.037 552.911][660.142 528.672][917.331 543.978][1183.0 545.0][1594.0 650.0][1597.0 897.0][1.0 897.0][2.0 715.168]]
1532402927608,22,0,0,[[811.0 494.0][810.0 472.0][816.0 461.0][825.0 472.0][823.0 498.0]]
1532402927608,23,30,0,[[-1.0 1.0][1601.085 -0.695][1606.475 901.695][-2.695 910.949][0.881 382.797]]
