frame_id,roi_id,cls,x,y,width,height
7,1,7,985,327,472,325
7,15,0,996,491,52,121
7,23,0,1055,412,52,42
7,35,0,832,487,17,41
7,36,0,799,492,13,37
7,37,0,790,485,17,41
7,43,13,1036,511,39,104
7,44,13,1060,512,62,114
7,45,13,482,526,60,49
7,46,13,420,529,85,53
7,47,13,335,531,114,72
7,48,13,213,535,143,85
7,49,13,35,544,206,100
7,50,13,-13,560,91,110
7,70,13,533,529,28,43
7,79,11,188,459,28,21
7,80,11,187,482,28,8
8,1,7,952,366,305,228
8,15,0,964,481,35,99
8,23,0,1020,434,35,28
8,35,0,825,485,15,34
8,36,0,792,490,16,34
8,38,0,742,489,19,30
8,44,13,1009,501,40,85
8,45,13,553,509,42,52
8,46,13,512,513,60,52
8,47,13,458,513,74,59
8,48,13,387,517,89,68
8,49,13,295,513,114,88
8,50,13,150,521,155,98
8,51,13,3,536,167,119
8,70,13,586,521,22,35
8,79,11,288,459,22,19
8,80,11,284,478,29,8
6,1,7,1032,195,569,586
6,15,0,1081,477,82,205
6,23,0,1140,385,68,58
6,35,0,844,483,19,44
6,36,0,804,486,19,42
6,37,0,793,481,20,47
6,43,13,1138,536,53,123
6,44,13,1227,540,121,181
6,45,13,353,519,94,77
6,46,13,236,530,134,89
6,47,13,72,526,191,122
6,48,13,-5,547,114,125
6,70,13,447,535,23,48
6,79,11,37,446,31,31
6,80,11,35,475,33,5
5,1,7,1105,57,495,745
5,15,0,1370,451,201,433
5,23,0,1295,332,113,79
5,35,0,856,488,19,49
5,36,0,810,493,14,43
5,37,0,800,489,15,49
5,38,0,637,495,20,45
5,45,13,115,546,162,99
5,46,13,86,548,59,123
5,47,13,36,553,91,131
5,70,13,298,551,44,69
5,82,11,489,306,33,26
5,85,11,279,509,51,41
4,1,7,1254,51,340,652
4,35,0,871,477,23,60
4,36,0,817,494,22,45
4,37,0,808,489,17,50
4,38,0,581,492,17,50
4,70,13,20,579,83,108
4,82,11,420,267,34,29
4,85,11,165,516,57,46
0,35,0,1039,473,52,111
0,36,0,920,492,50,95
0,37,0,880,485,41,97
0,71,13,117,531,190,124
0,72,13,77,544,78,103
0,73,13,304,564,30,68
0,74,2,333,506,174,66
0,75,2,660,462,81,52
1,35,0,971,475,40,92
1,36,0,874,494,33,70
1,37,0,849,487,29,81
1,38,0,39,520,57,100
1,71,13,409,536,83,62
1,72,13,371,525,55,66
1,74,2,531,504,86,45
1,75,2,700,472,53,43
2,35,0,922,480,35,73
2,36,0,840,491,32,58
2,37,0,823,486,31,60
2,38,0,336,500,36,75
2,71,13,539,516,53,51
2,72,13,514,513,40,43
2,75,2,721,472,42,31
2,82,11,113,107,46,48
3,35,0,891,489,33,56
3,36,0,831,496,19,49
3,37,0,818,491,20,54
3,38,0,483,495,29,60
3,71,13,606,511,42,44
3,72,13,581,513,34,39
3,82,11,301,213,49,37
3,83,11,1514,386,57,49
3,84,11,1512,434,54,17
3,85,11,-3,521,53,70
