frame_id,roi_id,cls,x,y,z,w,h,l,roll,pitch,yaw
0,0,0,-17.12313338159409,-36.84276191534789,0.9150381442649518,0.8420000000000001,1.749,0.884,0.021485392739541573,-0.010146715296477149,0.881066115383372
0,1,0,-8.171080028188584,-13.770111463067956,0.4834099886920598,0.7929999999999999,1.604,1.0,0.021485392739541573,-0.010146715296477149,1.769630690879135
0,2,0,-30.62623896683797,-34.655506811277355,0.9020126511049014,0.9,1.827,0.956,0.02148539273954157,-0.010146715296477149,-1.1421348673072724
0,3,0,-10.060081460104653,-30.83533083658494,0.8487404198864145,0.767,1.8090000000000002,0.872,0.02148539273954157,-0.01014671529647715,-2.1182298442837664
0,4,1,-8.129754469518758,-6.635092548362006,0.4861090607296668,1.9080000000000001,1.051,0.579,0.021485392739541573,-0.010146715296477149,1.511723387324782
1,0,0,-21.35702434316637,-36.15826878614151,0.7383876114082548,0.8420000000000001,1.749,0.884,0.02502895880943375,-0.013489358006917928,0.8667049822510972
1,1,0,-12.973409873036625,-12.34476106068111,0.2982067103336885,0.7929999999999999,1.604,1.0,0.02502895880943376,-0.013489358006917923,1.842536020346576
1,2,0,-35.163707174746214,-34.852406403078064,0.6107763867570539,0.9,1.827,0.956,0.025028958809433757,-0.013489358006917923,-1.1477693541795746
1,3,0,-15.0745408553006,-31.30009524526153,0.6766780385059514,0.767,1.8090000000000002,0.872,0.02502895880943375,-0.01348935800691793,-2.158770916195956
2,0,1,1.2663414837687301,-6.88413228054262,0.4362433524763615,0.47600000000000003,0.72,0.461,0.02290252600370097,-0.009281678783726259,0.7365885914270419
2,1,0,-25.921667275612286,-35.427430179701624,0.9304191710789916,0.8420000000000001,1.749,0.884,0.02290252600370097,-0.009281678783726264,0.8511869101201703
2,2,1,3.1383465402987825,-7.009956122107643,0.5297656985735896,2.073,1.078,0.633,0.02290252600370097,-0.009281678783726266,1.556265021324304
2,3,0,-39.90831922882786,-35.2940607335752,0.9036473491667668,0.9,1.827,0.956,0.022902526003700973,-0.009281678783726264,-1.154560780050531
2,4,0,-20.534043778992547,-31.90792569572971,0.8419926706837741,0.767,1.8090000000000002,0.872,0.02290252600370097,-0.009281678783726259,-2.078295879467195
2,5,1,3.3200057918370565,-8.253426978186923,0.44995250159517297,2.126,1.031,0.716,0.022902526003700963,-0.009281678783726259,1.5911716063641903
3,0,1,0.968717179060731,-8.349472660229388,0.4411247761040729,1.736,1.166,0.6940000000000001,0.0194305553141339,-0.015683237563893452,1.4848091000360606
