frame_id,roi_id,cls,x,y,width,height
0,1,7,134,225,470,401
0,3,2,720,465,65,71
0,4,2,898,477,59,51
0,5,2,1006,479,68,58
0,6,2,974,462,66,54
0,7,2,1540,491,56,32
0,8,2,1452,485,77,37
0,9,2,1352,480,86,36
0,10,2,1296,481,57,23
0,15,0,613,457,47,139
0,16,0,680,473,16,36
0,17,0,784,462,15,42
0,18,0,800,471,14,34
0,43,13,573,493,69,97
0,45,13,1529,528,96,113
0,46,13,1455,528,92,107
0,47,13,1367,518,94,97
0,48,13,1320,508,65,93
0,49,13,1274,503,69,84
0,50,13,1238,501,52,70
0,51,13,1215,500,43,67
0,52,13,1193,499,34,64
0,53,13,1167,493,36,54
0,54,13,1152,493,28,51
0,55,13,1136,492,24,51
0,56,13,1118,490,29,47
0,57,13,1103,495,21,34
0,58,13,1086,493,18,36
1,1,7,-1,18,539,689
1,3,2,714,459,77,75
1,4,2,910,465,60,61
1,5,2,1038,463,88,78
1,6,2,996,454,71,63
1,8,2,1518,485,75,32
1,9,2,1401,482,89,34
1,10,2,1322,480,76,25
1,15,0,543,444,49,186
1,16,0,696,467,9,37
1,17,0,795,462,10,45
1,18,0,812,457,15,50
1,43,13,490,495,66,135
1,48,13,1513,513,82,122
1,49,13,1432,510,90,104
1,50,13,1355,507,95,92
1,51,13,1313,505,76,77
1,52,13,1284,495,56,81
1,53,13,1241,496,65,69
1,54,13,1219,494,39,59
1,55,13,1192,485,40,67
1,56,13,1173,491,28,52
1,57,13,1145,488,30,42
1,58,13,1125,489,26,32
1,61,13,653,469,45,31
1,62,13,616,470,47,28
1,63,13,583,468,32,26
2,1,7,-6,1,413,749
2,3,2,718,461,77,81
2,4,2,925,469,61,60
2,5,2,1074,471,121,83
2,6,2,1019,462,86,63
2,9,2,1462,488,131,36
2,10,2,1371,483,108,32
2,15,0,375,434,62,312
2,17,0,798,456,15,58
2,18,0,822,458,18,57
2,43,13,251,515,116,244
2,51,13,1497,514,105,121
2,52,13,1430,514,87,98
2,53,13,1372,505,74,88
2,54,13,1318,503,63,79
2,55,13,1282,495,59,75
2,56,13,1242,496,54,65
2,57,13,1205,497,28,41
2,61,13,656,474,51,34
2,62,13,615,470,51,35
2,63,13,569,470,56,32
2,64,13,524,473,52,31
2,65,13,490,470,40,33
3,1,7,0,-3,154,902
3,3,2,722,450,76,87
3,4,2,944,466,61,48
3,5,2,1122,466,144,93
3,6,2,1049,452,87,67
3,9,2,1527,476,82,33
3,10,2,1436,476,97,30
3,17,0,808,455,15,48
3,18,0,836,458,15,46
3,20,13,-6,545,115,342
3,53,13,1533,508,84,101
3,54,13,1458,507,95,94
3,55,13,1398,508,85,81
3,56,13,1354,502,64,69
3,57,13,1273,480,38,51
3,61,13,654,467,44,33
3,62,13,602,466,51,33
3,63,13,560,463,47,32
3,64,13,509,460,46,34
3,67,13,1325,515,24,39
3,76,7,378,396,177,54
4,2,7,214,410,114,50
4,3,2,707,457,94,93
4,4,2,961,465,59,52
4,5,2,1165,464,177,117
4,6,2,1084,450,87,78
4,10,2,1473,477,122,39
4,11,2,441,448,58,32
4,17,0,823,465,17,41
4,18,0,845,466,17,44
4,19,0,477,452,23,55
4,56,13,1503,518,91,79
4,57,13,1347,489,54,62
4,61,13,640,471,54,30
4,62,13,596,469,49,35
4,63,13,549,473,48,30
4,64,13,506,469,44,30
4,66,13,1447,525,32,53
4,68,13,1471,533,33,51
4,76,7,360,400,196,61
5,2,7,173,402,173,71
5,3,2,686,459,106,81
5,4,2,979,463,48,45
5,5,2,1214,455,200,127
5,6,2,1123,447,78,79
5,11,2,420,444,91,33
5,12,5,1076,452,47,41
5,17,0,834,445,14,56
5,18,0,853,450,21,61
5,20,0,808,447,20,56
5,57,13,1446,493,60,66
5,58,13,1401,490,44,70
5,61,13,640,466,56,38
5,62,13,588,464,57,36
5,63,13,537,468,57,32
5,64,13,484,464,53,32
5,65,13,429,463,64,31
5,76,7,341,379,223,79
6,2,7,131,400,159,72
6,3,2,663,454,121,96
6,4,2,992,464,54,44
6,5,2,1267,467,220,129
6,6,2,1173,451,69,77
6,11,2,392,448,103,29
6,12,5,1091,456,63,46
6,17,0,845,452,17,59
6,18,0,867,454,19,60
6,19,0,423,471,23,43
6,20,0,814,453,21,61
6,58,13,1512,504,80,77
6,59,13,1478,503,50,66
6,61,13,634,474,36,33
6,62,13,577,473,62,32
6,63,13,526,469,65,38
6,64,13,462,472,66,33
6,65,13,413,472,49,32
6,76,7,330,388,199,75
7,2,7,87,385,185,72
7,3,2,612,446,149,99
7,4,2,1010,460,59,45
7,5,2,1327,459,252,143
7,6,2,1227,444,83,83
7,11,2,372,435,114,33
7,12,5,1109,446,75,52
7,17,0,858,448,20,63
7,18,0,883,450,17,64
7,19,0,384,463,25,51
7,20,0,820,451,24,59
7,62,13,558,465,68,35
7,63,13,496,467,57,31
7,64,13,433,463,63,29
7,65,13,374,464,58,31
7,66,13,752,466,43,35
7,76,7,320,385,192,68
8,2,7,66,397,193,86
8,3,2,574,449,162,112
8,4,2,1026,464,61,50
8,4,2,1300,445,97,87
8,5,2,1370,461,234,147
8,11,2,349,444,100,34
8,12,5,1133,452,78,49
8,17,0,870,448,19,69
8,18,0,901,451,16,68
8,21,0,840,469,23,68
8,62,13,538,465,54,50
8,63,13,470,471,81,44
8,64,13,410,471,71,41
8,65,13,347,469,65,38
8,66,13,736,471,58,39
8,76,7,298,385,208,80
